City,Area,Robos,Robos Violentos,Robo con violencia,Robo con intimidación,Robo por sorpresa,Robos con Fuerza,Robo de Vehículo Motorizado,Robo de Accesorio de Vehículo,Robo en Lugar Habitado,Robo en Lugar No Habitado,Otros Robos con Fuerza,Homicidios,Violaciones,Lesiones,Hurtos
SAN PEDRO DE LA PAZ,Cuadrante 8,126,22,5,13,4,104,8,40,18,36,2,0,0,18,57
TALCAHUANO,Cuadrante 1,296,103,29,44,30,193,27,47,29,64,26,0,0,105,173
TALCAHUANO,Cuadrante 2,159,61,24,32,5,98,23,9,29,25,12,4,5,142,33
TALCAHUANO,Cuadrante 3,210,62,19,26,17,148,22,37,23,58,8,1,6,63,74
TALCAHUANO,Cuadrante 5,140,41,17,17,7,99,20,16,32,23,8,0,1,55,30
TALCAHUANO,Cuadrante 6,217,43,12,23,8,174,20,76,18,49,11,0,1,37,390
TALCAHUANO,Cuadrante 7,103,31,10,13,8,72,18,12,4,20,18,1,0,36,26
TALCAHUANO,Cuadrante 4,161,38,6,21,11,123,27,26,25,35,10,0,2,74,47
TOMÉ,Cuadrante 1,117,33,11,16,6,84,22,11,18,29,4,0,1,88,154
TOMÉ,Cuadrante 2,59,14,8,3,3,45,6,2,17,16,4,0,2,46,34
YUMBEL,Cuadrante 1,53,6,2,2,2,47,3,6,20,14,4,0,0,21,42
YUMBEL,Cuadrante 2,49,2,0,0,2,47,0,2,27,16,2,0,0,12,13
YUMBEL,Cuadrante 3,26,3,0,2,1,23,0,6,8,9,0,2,0,16,13
